paper_id,cause,effect,description,effect_polarity,edge_label
10.1007_s10461-020-03068-w,COVID-19 stressors,"""psychological distress""","""The total indirect effect of institutional support together with resilience was statistically significant.""","""Negative""","""partially_mediates"""
10.1007_s10461-024-04280-8,Drought,"""Heat-related illnesses""","""Drought causes heat-related illnesses.""","""Positive""","""causes_heat_related_illnesses"""
10.1007_s10461-024-04280-8,Drought,"""Altered patterns of vector-borne and water-borne diseases""","""Drought alters patterns of vector-borne and water-borne diseases.""","""Positive""","""alters_disease_patterns"""
10.1007_s10461-024-04280-8,Climate change,"""Poverty""","""Climate change leads to millions of people in SSA falling into poverty.""","""Positive""","""leads_to_poverty"""
10.1007_s10461-024-04280-8,Extreme weather events,"""Decreased food yields""","""Extreme weather events cause decreased food yields.""","""Positive""","""causes_food_yield_decrease"""
10.1007_s10461-024-04280-8,Drought,"""Povety and food insecurity""","""Drought increases poverty and food insecurity.""","""Positive""","""increases_poverty_food_insecurity"""
10.1007_s10461-024-04318-x,IPV,"""Emotional IPV experience""","""Female patients presenting with current or past IPV may be assigned to a social worker with additional counseling training; referrals may be made to a local domestic violence non-profit organization.""",Positive,ipv_assigns_counseling_service
10.1007_s10461-024-04358-3,HIV-related stigma and discrimination,Mental well-being,Experiences of HIV stigma/discrimination have affected mental well-being negatively.,Negative,has_negative_impact_on
10.1007_s10461-024-04358-3,HIV status has impacted sexual life negatively,Mental health disorder,HIV status has impacted sexual life negatively.,Positive,negatively_affects
10.1007_s10461-024-04358-3,HIV status has impacted the ability to engage in social relationships negatively,Mental health disorder,HIV status has impacted the ability to engage in social relationships negatively.,Positive,negatively_affects
10.1007_s10461-024-04413-z,Subjective safety,Neglect of condom use,"A lack of subjective safety, combined with stressful events and negative mood, might predict or even cause HIV transmission-risk behavior.",Negative,negatively_affects_transmission_risk_behavior
10.1007_s10461-024-04413-z,Objective hazard,Neglect of condom use,The opposing directions of the two effects reflect our arbitrary choice to code objective hazard and subjective safety rather than coding both as hazard (or both as safety).,Positive,positively_associated_with_transmission_risk_behavior
10.1007_s10461-025-04630-0,Age,"""Being at risk for financial resource strain""",Participants with age < 30 were more likely to be at risk for financial resource strain.,Negative,risk_of_financial_resource_strain
10.1017_S0950268822000103,None/primary,Underweight,"BMI was graded as: underweight (<18.5 kg/m2), normal (18.5– 24.9 kg/m2) and overweight (≥25.0 kg/m2)[ 16].",Positive,bmi_grade
10.1017_S0950268822000103,Ever smoked,Tobacco use history,History of tobacco use... Ever smoked 1.83 0.98 3.43 0 0.060,Unknown,tobacco_use_history
10.1017_S0950268822000103,HIV positive,Anaemia risk,Malaria infection was confirmed using thick blood smears and/or rapid diagnostic antigen tests (SD BIOLINE Malaria Ag...,Positive,hiv_positive_risk
10.1017_S0950268823000444,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.1017_S0950268823000444,Localised public health threats,Public health impacts,Accounting for confounding spatial or temporal factors that may bias results requires careful research that takes time and thus cannot produce the rapid assessments required by decision makers.,Unknown,is_relevant_to
10.1038_s41598-020-62667-8,education level,employment opportunities and income,"We assumed that educational level affects employment opportunities and income in later life, and through these...",Positive,affects_employment_and_income
10.1038_s41598-020-62667-8,education level,area-level deprivation at the place of residence,The educational level and socio-economic status may also affect risk of tuberculosis via other pathways not measured in this study.,Both,affects_area_deprivation
10.1038_s41598-020-73490-6,Marital status,Single experience unintended pregnancy,Women who were single were more likely to experience unintended pregnancy.,Negative,single_experience_unintended_pregnancy
10.1038_s41598-021-85781-7,Monthly average sunshine duration,"""Incidence of tuberculosis""",The corresponding relative risks increase by 1.8% (95% CI 0.1–3.4%) and 2.5% (95% CI 1.1–4.0%) when the variable increases by one unit.,Positive,increases_tuberculosis
10.1038_s41598-021-85781-7,Monthly per capita GDP,"""Incidence of tuberculosis""",The corresponding relative risks increase by 1.4% (95% CI 0.6–2.3%) and 2.5% (95% CI 1.1–4.0%) when the variable increases by one unit.,Positive,increases_tuberculosis
10.1038_s41598-021-85781-7,Mean temperature,"""Incidence of tuberculosis""",The posterior means of the regression coefficients are − 0.045 and the relative risks reduce by 4.4% (95% CI 3.1–5.8%) when the variable increases by one unit.,Negative,reduces_tuberculosis
10.1038_s41598-021-85781-7,Mean air pressure,"""Incidence of tuberculosis""",The posterior means of the regression coefficients are − 0.268 and the relative risks reduce by 23.3% (95% CI 12.5–33.6%) when the variable increases by one unit.,Negative,reduces_tuberculosis
10.1038_s41598-021-94289-z,Lower promiscuity from 1980 onwards,Median HIV incidence,Changing the weight for the number of relationships a person already has was changed from 0 to − 0.05.,Negative,intervenes_to_reduce_hiv_incidence
10.1038_s41598-021-94289-z,The proportion of male pending short links that are fulfilled by females,Median HIV incidence,The proportion of male pending short links that are fulfilled by females was changed from 1 to 0.7.,Negative,intervenes_to_reduce_hiv_incidence
10.1038_s41598-021-95959-8,SES,"""malaria infection""",The SES had a linear relationship and therefore was modelled using a simple parametric term.,Positive,influences_malaria_infection
10.1038_s41598-021-95959-8,age,"""malaria infection""","u, with basis function following a Gaussian process.",Unknown,influences_malaria_infection
10.1038_s41598-021-95959-8,vegetation density,"""malaria infection""",v(NDVI i) + w (Li),Positive,influences_malaria_infection
10.1038_s41598-021-96035-x,Household SES,Lower total cholesterol,"Middle − 0.01 (− 0.15, 0.13) − 0.04 (− 0.19, − 0.11)",Negative,low_household_ses_lower_total_cholesterol
10.1038_s41598-021-96035-x,Household SES,Higher total cholesterol,"High 0.14 (− 0.01, 0.30) 0.10 (− 0.05, 0.26)",Positive,high_household_ses_higher_total_cholesterol
10.1038_s41598-021-96035-x,Marital status (Single),Lower total cholesterol,"− 0.39 (− 0.65, − 0.12) − 0.32 (− 0.61, − 0.04)",Negative,single_marital_status_lower_total_cholesterol
