id,title,doi,authors,year,journal,abstract,url,source
A001,Inequality and support for climate policies,10.1257/rct.15962-1.0,Bruno Martorano; Laura Metzger; Conrad Nunnenmacher; Chiara Proietti,2025.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A002,Inequality and support for climate policies,10.1257/rct.15962,Bruno Martorano; Laura Metzger; Conrad Nunnenmacher; Chiara Proietti,2025.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A003,"&amp;lt;em&amp;gt;Health Affairs&amp;lt;/em&amp;gt; Web First: For Global Health Programs Aiding Developing Countries, Analyzing A New Funding Model",10.1377/forefront.20141113.042715,,2014.0,Forefront Group,No abstract available,,crossref
A004,Effects of Water Systems and Storage on Human Vulnerability to Diseases,10.4016/27574.01,Zee Sa,2011.0,SciVee,No abstract available,,crossref
A005,The effect of timely cash transfers during an extreme flood shock: Evidence from the 2022 Pakistan Floods,10.1257/rct.12147-1.0,Rocco Zizzamia; Nihan Rafique; Ashley Pople; Muhammad Bin Khalid,2023.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A006,The effect of timely cash transfers during an extreme flood shock: Evidence from the 2022 Pakistan Floods,10.1257/rct.12147,Rocco Zizzamia; Nihan Rafique; Ashley Pople; Muhammad Bin Khalid,2023.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A007,Development Assistance For Global Health: Is The Funding Revolution Over?,10.1377/forefront.20140417.038574,,2014.0,Forefront Group,No abstract available,,crossref
A008,Global warming could unleash malaria in the protected highlands of East Africa,10.21203/rs.3.rs-97509/v1,,,,No abstract available,,crossref
A009,Immigration Law as Development Policy: Mexican Guestworkers and the H-2A Visa Program,10.1257/rct.9475-1.0,Alice (Yiqian) Wang,2022.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A010,Immigration Law as Development Policy: Mexican Guestworkers and the H-2A Visa Program,10.1257/rct.9475,Alice (Yiqian) Wang,2022.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A011,Recognizing to be a part of the solution towards sector-wide decarbonization of wineries: Evidence from Japan,10.1257/rct.10664-1.0,Hiroki SASAKI; Hide-Fumi Yokoo; Takahiro Kubo,2023.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A012,Recognizing to be a part of the solution towards sector-wide decarbonization of wineries: Evidence from Japan,10.1257/rct.10664,Hiroki SASAKI; Hide-Fumi Yokoo; Takahiro Kubo,2023.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A013,Resilience to climate change: diversification strategies and correlation neglect,10.1257/rct.13177,Rafael Duarte Lisboa Paschoaleto; Marcela Ibanez; Ferley Rincón,2024.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A014,Resilience to climate change: diversification strategies and correlation neglect,10.1257/rct.13177-1.0,Rafael Duarte Lisboa Paschoaleto; Marcela Ibanez; Ferley Rincón,2024.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A015,Resilience to climate change: diversification strategies and correlation neglect,10.1257/rct.13177-2.0,Rafael Duarte Lisboa Paschoaleto; Marcela Ibanez; Ferley Rincón,2024.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A016,Living with thirst: People and wildlife in southern Africa's variable climate,10.4016/9768.01,,2009.0,SciVee,No abstract available,,crossref
A017,"Nature-based climate resilience through shoreline transformation: Whittaker Creek, VA, USA (2023-2024)",10.4211/hs.ad353492d58a47fd8b4a07d4bd686e33,Andre de Lima; Daniel Cardona; Tyler Miesse; Ali Shahabi; Navid Tahvildari; Celso Ferreira,2025.0,HydroShare Resources,No abstract available,,crossref
A018,Creating employment for the poor via technology transfers: Experimental evidence on a solar microenterprise program,10.1257/rct.3242-1.0,Rowan Philip Clarke,2018.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A019,Creating employment for the poor via technology transfers: Experimental evidence on a solar microenterprise program,10.1257/rct.3242-2.0,Rowan Philip Clarke,2018.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A020,Creating employment for the poor via technology transfers: Experimental evidence on a solar microenterprise program,10.1257/rct.3242,Rowan Philip Clarke,2018.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A021,New acoustic technology makes tracking biodiversity faster and cheaper,10.21203/rs.2.15003/v1,,,,No abstract available,,crossref
A022,Field experimental evaluation of how experience with meat substitutes affects meat substitution and substitute adoption rates,10.1257/rct.13528,Lukas Fesenfeld; Maiken Maier; Fabienne Michel; Ursa Bernardic; Fabian Bättig,2024.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A023,Field experimental evaluation of how experience with meat substitutes affects meat substitution and substitute adoption rates,10.1257/rct.13528-1.0,Lukas Fesenfeld; Maiken Maier; Fabienne Michel; Ursa Bernardic; Fabian Bättig,2024.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A024,Field experimental evaluation of how experience with meat substitutes affects meat substitution and substitute adoption rates,10.1257/rct.13528-1.1,Lukas Fesenfeld; Maiken Maier; Fabienne Michel; Ursa Bernardic; Fabian Bättig,2024.0,AEA Randomized Controlled Trials,No abstract available,,crossref
A025,Part I - Definition of CSR,10.4016/8493.01,Aguinaldo Santos; Carlo Vezzoli; Sara Cortesi,2008.0,SciVee,No abstract available,,crossref
