title,authors,journal,year,doi,abstract,pmid
"Tuberculosis household contact tracing in children: axes of inequality, Barcelona 2003-2022.",Prieto-Garcia R; Millet JP; Soriano-Arandes A; Espiau M; Broto C; Ronda M; Lopez N; Noguera-Julian A; Masdeu Corcoll E; Domingo Jimenez C; Ros Samso M; Marcos Arroita MI; Ospina Valencia JE; Garcia Rebollo C; Simon Vivan P; Rius Gibert C,Frontiers in public health,2025,10.3389/fpubh.2025.1591552,"Children under 15 years of age living in the household of a tuberculosis case constitute a very vulnerable group to tuberculosis infection (TBI). The objective of this study was to determine the prevalence of TBI and the risk factors associated with presenting TBI in this group, considering sex, age, and migratory status as axes of inequality. A population-based, analytical, cross-sectional observational study was carried out in the city of Barcelona in the period 2003-2022. The study population was household contacts under 15 years of age with index cases of pulmonary TB reported to the Barcelona Public Health Agency in the period 2003-2022. The analyses were performed using Generalized Estimating Equations (GEE) to predict the risk of TBI among these cohabiting contacts and were stratified considering the inequality axes of sex and migratory status. A total of 1084 contacts under 15 years of age were studied from 693 cases of tuberculosis. TBI prevalence among contacts was 24.5%. The factors associated with the presence of TBI in the contacts were having a smear positive in the index case, being older than 5 years in the contacts ([5,10], [10-15]) and the case and the contact being migrants; smear positive when the index case was native women and being from a municipal district with a lower incidence of tuberculosis when the index case was native women and the men. The results of the study confirm the importance of carrying out contact tracing and follow-up of household children, especially if the index case is smear positive. Contact tracing should be carried out as soon as possible to assess the prescription of primary chemoprophylaxis and TBI treatment to avoid rapid TB progression in children.",40510584
Co-occurrence of malaria and Chagas disease in the Brazilian Amazon: the need for integrated health surveillance.,Reis ICD; Lana RM; Codeco CT; Dal'Asta AP; Barbosa M; Xavier DR,Cadernos de saude publica,2025,S0102-311X2025001401403,"This study addresses the co-occurrence of malaria and Chagas disease in municipalities in the Amazon, a region characterized by geographic and climatic diversity and by socioeconomic and environmental transformations. This study aimed to identify the factors related to the co-occurrence of malaria and Chagas disease in the Brazilian Amazon from 2015 to 2019. The analysis explored 19 environmental indicators and two socioeconomic indicators related to habitat loss, land use and cover, climate anomalies, and the multidimensional poverty index. Modeling was performed by Conditional Inference Trees, adjusting models with and without contextual variables, to map areas of probable co-occurrence of the diseases. The incidence of malaria is predominant in the western Amazon, while Chagas disease is more frequent in areas of Para and parts of Amazonas and Acre. Municipalities with high coverage of native vegetation showed higher incidences of malaria, but not necessarily of Chagas disease. Municipalities with native vegetation cover and pasture areas showed heterogeneous incidence of diseases, with some presenting a high incidence of both diseases. The predictive analysis showed an increase in the number of municipalities with a high expected incidence of malaria (moderate) and disease Chagas (high) from 1 to 7, when compared to observed data. The study showed areas with a risk of moderate and high incidence of both diseases, covering a larger region than that observed in the period. Alternatives of shared surveillance and the integration of programs for the identification of cases and treatment can be a measure to optimize resources and help eradicate these diseases in the region.",40498943
Is it possible to encourage TB testing and detect missing TB cases via community-level promotion of a self-screening mobile application? Quasi-experimental evidence from South Africa.,Rich K; Burger R; Goldberg D; Moultrie H; Rieger M,BMJ health & care informatics,2025,10.1136/bmjhci-2024-101179,"OBJECTIVES: While mobile health (mHealth) interventions are widespread, few studies assess impacts at the population level in low-income and middle-income countries. South Africa's tuberculosis (TB) burden is high, and a substantial share of cases remain undiagnosed. We evaluate the impacts of community activations of TBCheck-a WhatsApp/USSD-based chatbot that allows individuals to evaluate themselves for TB risk. METHODS: We use a quasi-experimental approach comparing treated and control subdistricts nationally before and after community activations using dashboard data from the TBCheck platform and weekly or quarterly subdistrict TB test data from the National Health Laboratory Service. Dependent variables are the number of self-screening tests on the platform, total tests and number of positive tests per subdistrict. We employ dynamic difference-in-difference models accounting for subdistrict unobservables and time trends using weekly data, and synthetic control methods matching on preintervention trends in outcomes using quarterly data. RESULTS: Impact estimates suggest an increase in the number of self-screening tests on the platform (487.53, p-value<0.01) as well as TB tests (107.90, p-value=0.05) in treated relative to control subdistricts due to intervention activities in the week of the intervention. After 2 weeks, impacts on the number of self-screening tests are insignificant (-6.18, p=0.23), and after 1 week, impacts on TB tests are insignificant (36.44, p-value=0.32). DISCUSSION AND CONCLUSION: Activation activities associated with TBCheck led to short-lived and variable impacts on uptake and tests in target subdistricts. Alternative strategies are required for sustained uptake of such mHealth tools.",40451260
Spatial interpolation of health and demographic variables: Predicting malaria indicators with and without covariates.,Morlighem C; Nnanatu CC; Visee C; Fall A; Linard C,PloS one,2025,10.1371/journal.pone.0322819,"Accurate mapping and disaggregation of key health and demographic risk factors have become increasingly important for disease surveillance, which can reveal geographical social inequalities for improved health interventions and for monitoring progress on relevant Sustainable Development Goals (SDGs). Household surveys like the Demographic and Health Surveys have been widely used as a proxy for mapping SDG-related household characteristics. However, there is no consensus on the workflow to be used, and different methods have been implemented with varying complexities. This study aims to compare multiple modelling frameworks to model indicators of human vulnerability to malaria (SDG Target 3.3) in Senegal. These indicators were categorised into socioeconomic (e.g., stunting prevalence, wealth index) and malaria prevention indicators (e.g., indoor residual spraying, insecticide-treated net ownership). We compared three categories of the commonly used methods: (1) spatial interpolation methods (i.e., inverse distance weighting, thin plate splines, kriging), (2) ensemble methods (i.e., random forest), and (3) Bayesian geostatistical models. Most indicators could be modelled with medium to high predictive accuracy, with R2 values ranging from 0.40 to 0.86. No method or method category emerged as the best, but performance varied widely. Overall, socioeconomic indicators were generally better predicted by covariate-based models (e.g., random forest and Bayesian models), while methods using spatial autocorrelation alone (e.g., thin plate splines) performed better for variables with heterogeneous spatial structure, such as ethnicity and malaria prevention indicators. Increasing the complexity of the models did not always improve predictive performance, e.g., thin plate splines sometimes outperformed random forest or Bayesian geostatistical models. Beyond performance, we compared the different methods using other criteria (e.g., the ability to constrain the prediction range or to quantify prediction uncertainty) and discussed their implications for selecting a modelling approach tailored to the needs of the end user.",40440338
"Anti-PGL-I seropositivity and development of leprosy in contacts: a comprehensive analysis of sociodemographic determinants, genetic susceptibility, and exposure characteristics to Mycobacterium leprae.",Niitsuma ENA; Bueno IC; Fernandes GDR; Abreu MNS; Lana FCF,Memorias do Instituto Oswaldo Cruz,2025,S0074-02762025000101126,"BACKGROUND: Leprosy is an infectious disease that remains hyperendemic in several Brazilian regions. Patient contacts face a higher risk for infection and illness, which can subsequently contribute to the persistence of the disease. OBJECTIVE: This study investigates the risk factors associated with anti-phenolic glycolipid-I (anti-PGL-I) seropositivity and leprosy development among contacts of leprosy patients in a highly endemic region. METHODS: A cohort of 629 contacts from the Almenara microregion, Minas Gerais, Brazil, was followed from 1998 to 2018. Our research group assessed risk factors, including sociodemographic determinants, bacillus exposure, and genetic susceptibility. FINDINGS: Analysis revealed that living with a multibacillary (MB) leprosy patient [odds ratio (OR): 3.01, 95% confidence interval (CI): 1.02-8.86] and with a patient with grade II disabilities (OR: 4.43, 95% CI: 1.08-18.1) significantly increased the likelihood of anti-PGL-I seropositivity among asymptomatic contacts. Risk factors for leprosy included living with a patient in a shared residence (OR: 2.84, 95% CI: 1.21-6.67) and blood relation to the patient (OR: 2.56, 95% CI: 1.18-5.54). Notably, 98% of contacts who developed leprosy had lived with more than one patient. MAIN CONCLUSIONS: Clinical characteristics of index patients play a critical role in infection risk among contacts. Leprosy progression appears to depend on genetic susceptibility, type of contact, and extent of bacillus exposure.",40435099
Malaria and anaemia prevalence and associated factors among pregnant women initiating antenatal care in two regions in Ghana: an analytical cross-sectional study.,Ampofo GD; Osarfo J; Okyere DD; Kouevidjin E; Aberese-Ako M; Tagbor H,BMC pregnancy and childbirth,2025,10.1186/s12884-025-07735-5,"BACKGROUND: Malaria and anaemia in pregnancy remain public health problems because they increase the risk of adverse pregnancy outcomes. This study assessed malaria and anaemia prevalence and associated risk factors among pregnant women initiating antenatal care in selected districts of 2 regions of Ghana. METHODS: An analytical cross-sectional study was conducted using data obtained from 5196 pregnant women at their booking antenatal care (ANC) visit. Women of any age, gestational age, parity and at any ANC visit, who consented were enrolled consecutively into the study. Data on socio-demographic and obstetric characteristics, bed net ownership and use were obtained using structured questionnaires. Haemoglobin concentration and malaria, Schistosoma and helminth infections were determined using an automated haematology analyser and microscopy, respectively. Summary statistics to describe study variables and chi-square test and logistic regression set at p < 0.05 to determine risk factors for anaemia and malaria were conducted using Stata SE14. RESULTS: Overall malaria prevalence was 5.74% [95% CI: 5.1-6.4] and anaemia prevalence was 55.22% [ 95% CI: 53.85-56.58]. Living in Volta region (p < 0.001), being secondi- (p = 0.003) or multigravida (p < 0.001) and being of lower middle socio-economic status (p = 0.004) reduced the women's risk of malaria parasite infection. Being anaemic (p = 0.001) and reporting a symptom (p < 0.001) increased the odds of Plasmodium infection among the women. Residing in Volta region (p < 0.001), having malaria infection (p < 0.001), and booking ANC in the 2nd (p < 0.001) and 3rd trimesters (p < 0.001) increased the odds of anaemia among the women. Age 25-34 years (p < 0.001) and >/= 35 years (p = 0.008) and belonging to middle (p = 0.009), upper middle (p = 0.006) or upper-level (p < 0.001) quintile of wealth index reduced the odds of anaemia among the women at their booking ANC visit. CONCLUSIONS: More than half the women were anaemic signifying a severe public health problem. Malaria prevalence, though low, was a significant risk factor for anaemia. Existing malaria and anaemia control strategies through ANC need strengthening, especially among young, first-time pregnant women. This study further highlights socio-economic status as an important risk factor for anaemia in pregnancy. TRIAL REGISTRATION: Not applicable.",40426109
Global and regional disease burden of HIV/AIDS from 1990 to 2021 and projections to 2030.,Lu Y; Li H; Dong R; Zhang M; Dong X; Yang C; Wang X; Ye J,BMC public health,2025,10.1186/s12889-025-23121-4,"BACKGROUND: Few studies have focused on the descriptive epidemiology and trends of HIV/AIDS since the publication of the Global Burden of Disease (GBD) study in 2021. Therefore, this study aims to analyze the trends and patterns of the HIV/AIDS burden at the global, regional, and national levels by sex, age and social development index (SDI). We also explored risk factors and predicted the GBD of HIV/AIDS until 2030. METHODS: Data on the etiology of HIV/AIDS from 1990 to 2021 were collected from the 2021 GBD database. Estimated annual percent changes (EAPCs) were calculated to assess temporal trends in the age-standardized incidence rate (ASIR), age-standardized disability-adjusted life-year rate (ASDR) and age-standardized mortality rate (ASMR) of HIV/AIDS patients. Measures categorized by sex, region, age and SDI quintiles. In addition, an age‒period‒cohort model was established to forecast future trends of the HIV/AIDS burden to 2030. RESULTS: Globally, the incidence of HIV/AIDS reached 1.65 million (95% uncertainty interval 1.48 to 1.82) in 2021. From 1990 to 2021, the global ASIR of HIV/AIDS showed a downward trend, with an EAPC of 0.14% (0.12-0.16%). The ASIR, ASDR, and ASMR of HIV/AIDS were highest in the low-SDI region and lowest in the high-SDI region. Regionally, southern sub-Saharan Africa had the highest ASIR in 2021, whereas Oceania had the largest increase in the ASIR from 1990 to 2021. Burundi (EAPC 14.04%, 95% CI -13.63 to -14.44%), followed by Burkina Faso, exhibited the most significant decrease in the ASIR. Globally, the highest incidence rate was observed in the 25-29 years old group. Unsafe sex is the primary factor leading to the burden of HIV/AIDS. By 2030, the global ASIR, ASDR and ASMR of HIV/AIDS are expected to gradually decrease. CONCLUSION: HIV/AIDS disease burden varies by region, sex, and age. The global burden of HIV/AIDS is substantial in low-income regions, especially in Sub-Saharan Africa. Our study offers valuable epidemiological evidence for future research on the prevention and treatment of HIV/AIDS.",40413521
Prevalence of hepatitis B virus infection and its associated factors in Ethiopia: a recent systematic review and meta-analysis.,Tadesse S; Munshea A; Gelaw B; Peshu N; Tesfa E; Mekonnen F; Tefera MM; Kahsu G; Endalamaw D; Kramvis A; Adugna M; Wandiga S,BMC infectious diseases,2025,10.1186/s12879-025-11150-8,"BACKGROUND: Hepatitis B virus (HBV) is one of the most common causes of chronic liver disease and is a growing concern in low-income countries, including Ethiopia. Different studies have been conducted on the prevalence of HBV infection among Ethiopian regions and population segments. Therefore, this systematic review was commenced to summarize these findings, deliver representative pooled data on the prevalence of HBV infection among Ethiopian administrative regions and population segments, and identify possible factors associated with HBV infection. METHODS: Electronic databases such as PubMed, African Journals Online, and Google Scholar were searched for published articles from July 9, 2019, to February 30, 2024. The data were exported to STATA version 15.1 for meta-analyses. The heterogeneity between the results of the primary studies was accessed using Cochran's Q chi-square test and quantified with I(2) statistics. A random effect model was used to pool the prevalence of HBV infection. RESULTS: The overall pooled prevalence of HBV infection was 6.9% (95% CI: 6.1, 7.7). Among the subgroup analyses, the highest pooled prevalence of HBV infection was obtained from Harar city 9.6% (95% CI: 5.6, 13.5), followed by South Nations and Nationalities People Regions (SNNPR) 8.5% (95% CI: 7.4, 9.7). On the other hand, the pooled prevalence of HBV infection among waste handlers was high 12.6% (95% CI: 2.4, 27.6) followed by female commercial sex workers (FCSW) 10.9% (95% CI: 7.7, 15.2) and human immune deficiency virus (HIV) positive individuals 9.9% (95% CI: 7.2, 12.8). HBV infection was significantly linked to the following factors: those with multiple sexual partners, a family history of chronic liver disease, exposure to bodily fluids, HIV seropositivity, and sharp needle injury had Adjusted Odd Ratio (AOR):3.9 (95% CI: 2.62, 5.76), (AOR: 6.9 (95% CI:3.46, 10.53), (AOR:3.1 (95% CI: 2.01, 3.05), (AOR:7.7 (95% CI: 2.99, 19.93), (AOR:2.1 (95% CI: 1.58, 2.66) times a greater chance of infection, respectively. CONCLUSIONS: The high pooled prevalence of HBV infection in Ethiopia indicates that the burden of HBV infection continues to be a public health concern. The Ethiopian Ministry of Health should develop a strategic plan for prevention and control of HBV infection transmission including awareness creation, scale-up screening programs, diagnosis, treatment, and care services to reduce the burden of HBV infection and eliminate it as a public health threat.",40413392
"Socioeconomic determinants of the leprosy risk in Yunnan Province, China: a county-level spatiotemporal study.",Qian J; Ma Y; Wei Y; Peng Z; Li W; Zhang T; Yin F; Shui T,Frontiers in public health,2025,10.3389/fpubh.2025.1427319,"BACKGROUND: Making leprosy history in low-burden countries is a crucial step in achieving the World Health Organization's 2021-2030 Global Leprosy Strategy. Since leprosy has been contained at the national level in these countries, current efforts to eliminate leprosy have focused on specific leprosy high-risk areas. Quantifying the factors associated with leprosy risk would assist in identifying high-risk areas and the required efforts for leprosy elimination, which are still inadequate in these countries. To further progress a leprosy-free world, we investigated the associations between socioeconomic factors and the risk of leprosy in Yunnan Province, China. METHODS: Socioeconomic factors and leprosy cases for 129 counties in Yunnan Province from 2004 to 2019 were collected. A spatiotemporal Bayesian model was used to evaluate the socioeconomic factors associated with leprosy risk. RESULTS: 4,361 leprosy cases were reported from 2004 to 2019 in Yunnan. Negative associations between disposable income per capita of rural residents (RR = 0.947, 95% CI: 0.907, 0.989), population density (RR = 0.920, 95% CI: 0.894, 0.945), the number of students enrolled by regular secondary schools (RR = 0.990, 95% CI: 0.986, 0.994), and leprosy risk were found in Yunnan Province. The associations between the per capita product of the primary industry, proportion of male population, number of beds in health and medical institutions per 1,000 population, and leprosy risk were not significant. CONCLUSION: This study revealed the associations between socioeconomic factors and leprosy risk in a low-burden country. These findings suggest that subsequent leprosy elimination efforts in Yunnan Province should prioritize rural areas, particularly those with lower population density and lower economic levels among farmers. Additionally, it is crucial to actively target poor rural farmers as a high-risk group for leprosy through strengthened early detection, multidrug therapy, and health education.",40371279
"HIV prevalence and factors associated with HIV positivity among Black people in primary care in Porto Alegre, Brazil, 2020-2022: a cross-sectional study.",Brito ES; Teixeira MA; Martins RS; Pinheiro BHG; Rocha ACMD; Oliveira CN; Paula TF; Dornelles TM,Epidemiologia e servicos de saude : revista do Sistema Unico de Saude do Brasil,2025,S2237-96222025000100225,"OBJECTIVE: To examine HIV prevalence among primary care service users and to investigate factors associated with positive HIV test results among Black people. METHODS: This was a cross-sectional study with data from rapid HIV testing performed in health centers in Porto Alegre-RS, Brazil. Sociodemographic differences according to race/skin color and HIV test result were analyzed using the Chi-square test and Poisson regression with robust variance. RESULTS: Out of 92,345 people tested, 38% were Black, with 3.4% HIV prevalence. Among Black people the following were associated with higher HIV prevalence ratios (PR): being male (PR 1.62; 95% confidence interval [95%CI] 1.41; 1.85), having elementary education (PR 1.69; 95%CI 1.27; 2.24), having tuberculosis (PR 1.76; 95%CI 1.22; 2.54) and being a street dweller (PR 1.75; 95%CI 1.41; 2.18). CONCLUSION: Black people, especially Black men with lower education levels, tuberculosis and street dwellers, have higher HIV prevalence, requiring greater attention from prevention strategies and testing for sexually transmitted infections.",40366938
