,paper_id,cause,effect,description,effect_polarity,edge_label
0,10.1007_s10461-020-03068-w,COVID-19,psychological distress,The total indirect effect of institutional support together with resilience was statistically significant.,Negative,partially_mediates
1,10.1007_s10461-024-04280-8,Droughts and weather extremes,Heat-related illnesses,Drought causes heat-related illnesses.,Positive,causes_heat_related_illnesses
2,10.1007_s10461-024-04280-8,Droughts and weather extremes,Altered patterns of vector-borne and water-borne diseases,Drought alters patterns of vector-borne and water-borne diseases.,Positive,alters_disease_patterns
3,10.1007_s10461-024-04280-8,Climate change,Poverty,Climate change leads to millions of people in SSA falling into poverty.,Positive,leads_to_poverty
4,10.1007_s10461-024-04280-8,Droughts and weather extremes,Decreased food yields,Extreme weather events cause decreased food yields.,Positive,causes_food_yield_decrease
5,10.1007_s10461-024-04280-8,Droughts and weather extremes,Poverty,Drought increases poverty and food insecurity.,Positive,increases_poverty_food_insecurity
6,10.1007_s10461-024-04318-x,IPV,Emotional IPV experience,Female patients presenting with current or past IPV may be assigned to a social worker with additional counseling training; referrals may be made to a local domestic violence non-profit organization.,Positive,ipv_assigns_counseling_service
7,10.1007_s10461-024-04358-3,HIV-related stigma and discrimination,Mental well-being,Experiences of HIV stigma/discrimination have affected mental well-being negatively.,Negative,has_negative_impact_on
8,10.1007_s10461-024-04358-3,HIV-related stigma and discrimination,Mental health disorder,HIV status has impacted sexual life negatively.,Positive,negatively_affects
9,10.1007_s10461-024-04358-3,HIV-related stigma and discrimination,Mental health disorder,HIV status has impacted the ability to engage in social relationships negatively.,Positive,negatively_affects
10,10.1007_s10461-024-04413-z,Subjective safety,Neglect of condom use,"A lack of subjective safety, combined with stressful events and negative mood, might predict or even cause HIV transmission-risk behavior.",Negative,negatively_affects_transmission_risk_behavior
11,10.1007_s10461-024-04413-z,Hazards,Neglect of condom use,The opposing directions of the two effects reflect our arbitrary choice to code objective hazard and subjective safety rather than coding both as hazard (or both as safety).,Positive,positively_associated_with_transmission_risk_behavior
12,10.1007_s10461-025-04630-0,Age,Being at risk for financial resource strain,Participants with age < 30 were more likely to be at risk for financial resource strain.,Negative,risk_of_financial_resource_strain
14,10.1017_S0950268822000103,Smoking,Tobacco,History of tobacco use... Ever smoked 1.83 0.98 3.43 0 0.060,Unknown,tobacco_use_history
15,10.1017_S0950268822000103,HIV,Anaemia,Malaria infection was confirmed using thick blood smears and/or rapid diagnostic antigen tests (SD BIOLINE Malaria Ag...,Positive,hiv_positive_risk
17,10.1017_S0950268823000444,Localised public health threats,Public health impacts,Accounting for confounding spatial or temporal factors that may bias results requires careful research that takes time and thus cannot produce the rapid assessments required by decision makers.,Unknown,is_relevant_to
18,10.1038_s41598-020-62667-8,Education level,Employment,"We assumed that educational level affects employment opportunities and income in later life, and through these...",Positive,affects_employment_and_income
19,10.1038_s41598-020-62667-8,Education level,area-level deprivation at the place of residence,The educational level and socio-economic status may also affect risk of tuberculosis via other pathways not measured in this study.,Both,affects_area_deprivation
20,10.1038_s41598-020-73490-6,Marital status,Single experience unintended pregnancy,Women who were single were more likely to experience unintended pregnancy.,Negative,single_experience_unintended_pregnancy
21,10.1038_s41598-021-85781-7,Sunshine duration,Tuberculosis,The corresponding relative risks increase by 1.8% (95% CI 0.1–3.4%) and 2.5% (95% CI 1.1–4.0%) when the variable increases by one unit.,Positive,increases_tuberculosis
22,10.1038_s41598-021-85781-7,GDP,Tuberculosis,The corresponding relative risks increase by 1.4% (95% CI 0.6–2.3%) and 2.5% (95% CI 1.1–4.0%) when the variable increases by one unit.,Positive,increases_tuberculosis
