"attr","degree.layout","name","selected","shared name"
"Diseases","1","Conflict number","false","Conflict number"
"Climate","3","Precipitation","false","Precipitation"
"Socioeconomic","3","Migration","false","Migration"
"Climate","1","Climatic drivers","false","Climatic drivers"
"Socioeconomic","1","Economic damages","false","Economic damages"
"Climate","2","Renewable energy consumption","false","Renewable energy consumption"
"Environmental","1","Deteriorating environment","false","Deteriorating environment"
"Others",,"complexity of the area of competence","false","complexity of the area of competence"
"Climate","1","regions that oscillate between dry and wet conditions","false","regions that oscillate between dry and wet conditions"
"Poverty","1","Inequality","false","Inequality"
"Poverty","1","Number of emigrants from lowest income quintile","false","Number of emigrants from lowest income quintile"
"Diseases","4","Damages","false","Damages"
"Socioeconomic","1","Societal issues","false","Societal issues"
"Environmental","1","Unequal access to resources","false","Unequal access to resources"
"Others",,"International tourism","false","International tourism"
"Socioeconomic","1","Foreign direct investment","false","Foreign direct investment"
"Socioeconomic","1","Gross capital formation","false","Gross capital formation"
"Socioeconomic",,"Trade openness","false","Trade openness"
"Climate","1","Energy consumption","false","Energy consumption"
"Socioeconomic","4","Economic growth","false","Economic growth"
"Climate","5","CO2 emissions","false","CO2 emissions"
"Diseases","1","Weight loss","false","Weight loss"
"Diseases","2","Obesity","false","Obesity"
"Climate","1","Weather shocks","false","Weather shocks"
"Climate","1","floods","false","floods"
"Socioeconomic","5","Vulnerability","false","Vulnerability"
"Climate","1","storms","false","storms"
"Climate","1","sea level rise","false","sea level rise"
"Poverty","1","Extreme social inequalities","false","Extreme social inequalities"
"Diseases","2","Anxiety","false","Anxiety"
"Diseases","1","Have a psychiatric disorder","false","Have a psychiatric disorder"
"Socioeconomic","1","Electricity","false","Electricity"
"Infectious diseases","1","Older PLWH in SA group","false","Older PLWH in SA group"
"Socioeconomic","1","Year of death","false","Year of death"
"Environmental","1","Household exposure to Beijing lineage","false","Household exposure to Beijing lineage"
"Infectious diseases","1","Enfermedad pulmonar crónica","false","Enfermedad pulmonar crónica"
"Socioeconomic","1","% Mayan population","false","% Mayan population"
"Climate","1","Minimum yearly temperature","false","Minimum yearly temperature"
"Socioeconomic","1","Student","false","Student"
"Socioeconomic","2","Occupation","false","Occupation"
"Socioeconomic","1","Injury on the job","false","Injury on the job"
"Poverty","1","Discrimination at job","false","Discrimination at job"
"Diseases","1","Increased mortality","false","Increased mortality"
"Diseases","3","Anemia","false","Anemia"
"Infectious diseases","1","Having a spouse with Tuberculosis","false","Having a spouse with Tuberculosis"
"Infectious diseases","1","No LTBI","false","No LTBI"
"Socioeconomic","3","Population density","false","Population density"
