description,edge_label,EdgeBetweenness,interaction,name,paper_id,selected,shared interaction,shared name,�E�
A higher COVID-19 rate had a significant positive effect on TB incidence.,covid_rate_accelerates_tb,3192,Positive,COVID-19 (Positive) Tuberculosis,10.1186_s12879-023-08627-9,FALSE,Positive,COVID-19 (Positive) Tuberculosis,81
A higher TB rate had a significant positive effect on COVID-19 incidence.,tb_rate_accelerates_covid_19,2740,Positive,Tuberculosis (Positive) COVID-19,10.1186_s12879-023-08627-9,FALSE,Positive,Tuberculosis (Positive) COVID-19,77
Knowledge of malaria is used for diagnosis.,misclassifies_malaria,2121,Negative,Malaria (Negative) Malaria misclassification,10.1186_s12936-025-05244-6,FALSE,Negative,Malaria (Negative) Malaria misclassification,146
Malaria is associated with anaemia.,is_associated_with_anaemia,2121,Positive,Malaria (Positive) Anaemia,10.1186_s12936-024-05238-w,FALSE,Positive,Malaria (Positive) Anaemia,145
The results from the predictions indicate a 92.5% prevalence of anaemia among malaria positive children.,predicts_anaemia,2121,Positive,Malaria (Positive) Anaemia,10.1186_s12936-021-03948-z,FALSE,Positive,Malaria (Positive) Anaemia,128
Acute and repeated malaria infections over time have a detrimental effect on haemoglobin levels.,cases_malaria_anemia,2121,Negative,Malaria (Negative) Anaemia,10.1186_s12936-021-03948-z,FALSE,Negative,Malaria (Negative) Anaemia,127
Treatment of latent tuberculosis infection (LTBI) is effective for preventing progression to active TB.,prevents_TB_progression,2111,Positive,Tuberculosis (Positive) No LTBI,10.1371_journal.pone.0225744,FALSE,Positive,Tuberculosis (Positive) No LTBI,223
Tuberculosis infection leads to genome alteration with DNA damage.,leads_to_DNA_damage,2111,Negative,Tuberculosis (Negative) Oxidative stress,10.1186_s12885-020-06891-5,FALSE,Negative,Tuberculosis (Negative) Oxidative stress,84
TB patients' treatment can lead to psychological distress.,promotes_distress,2111,Negative,Tuberculosis (Negative) Psychological distress,10.1186_s12879-021-06284-4,FALSE,Negative,Tuberculosis (Negative) Psychological distress,71
Participants gave informed consent to participate in the study before taking part.,takes_part_in_leads_to_airflow_obstruction,2111,Positive,Tuberculosis (Positive) Airflow obstruction,10.1136_thoraxjnl-2021-218345,FALSE,Positive,Tuberculosis (Positive) Airflow obstruction,60
Higher odds of LTBI among individuals with recent TB contact.,increases,2111,Positive,Tuberculosis (Positive) LTBI,10.1136_bmjgh-2020-003550,FALSE,Positive,Tuberculosis (Positive) LTBI,56
The total indirect effect of institutional support together with resilience was statistically significant.,partially_mediates,2111,Negative,COVID-19 (Negative) psychological distress,10.1007_s10461-020-03068-w,FALSE,Negative,COVID-19 (Negative) psychological distress,0
The ‘classical Eattribution framework refers to the attribution of changes in the climate system to anthropogenic forcing.,drives_changes_in_climate_system,2080,Positive,Climatic drivers (Positive) Climate change,https___doi.org_10.5194_gmd-14-5269-2021,FALSE,Positive,Climatic drivers (Positive) Climate change,378
TB relapse increases unfavorable outcomes for DM-TB comorbidity.,increases_unfavorable_outcomes,2074,Positive,Tuberculosis (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Tuberculosis (Positive) Unfavorable outcomes,46
Patients earning less than the regional minimum wage were more likely to develop MDR-TB.,increases_mdr_tb_risk,1995,Positive,Low income (Positive) Tuberculosis,10.1265_ehpm.24-00169,FALSE,Positive,Low income (Positive) Tuberculosis,191
