"attr","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","degree.layout","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"Infectious diseases","1.75","0.2101264748323572","0.5714285714285714","0.03333333333333333","6","2","7","5","false","COVID-19","5.666666666666667","2","1","false","0","COVID-19","4951"
"Diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","psychological distress","6.0","0","0","false","0","psychological distress","0"
"Climate","2.0952380952380953","0.0","0.47727272727272724","0.0","9","4","9","0","false","Droughts and weather extremes","1.4444444444444444","9","0","false","0","Droughts and weather extremes","0"
"Diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Heat-related illnesses","9.0","0","0","false","0","Heat-related illnesses","0"
"Infectious diseases","0.0","0.0","0.0","0.0","1","0","1","1","false","Altered patterns of vector-borne and water-borne diseases","9.0","0","0","false","0","Altered patterns of vector-borne and water-borne diseases","0"
"Climate","2.12","0.08488243782361429","0.4716981132075471","0.011111111111111112","10","4","11","1","false","Climate change","2.5","10","1","false","0","Climate change","2000"
"Poverty","1.9166666666666667","0.0646804176215941","0.5217391304347826","0.0","5","3","6","3","false","Poverty","16.75","3","0","false","1","Poverty","1524"
"Land use","0.0","0.0","0.0","0.0","1","0","1","1","false","Decreased food yields","9.0","0","0","false","0","Decreased food yields","0"
"Socioeconomic","2.0","0.0","0.5","0.0",,"3","8","0","false","Age","7.833333333333333","8","1","false","0","Age","0"
"Socioeconomic","0.0","0.0","0.0","0.0","1","0","1","1","false","Being at risk for financial resource strain","6.0","0","0","false","0","Being at risk for financial resource strain","0"
"Diseases","1.0","0.0","1.0","0.0",,"1","6","1","false","Smoking","4.0","5","0","false","1","Smoking","0"
"Others","0.0","0.0","0.0","0.0",,"0","1","1","false","Tobacco","4.0","0","0","false","0","Tobacco","0"
"Infectious diseases","1.0","0.14272981920040745","1.0","0.007575757575757576","8","1","13","8","false","HIV","2.5833333333333335","5","1","false","0","HIV","3363"
"Diseases","0.0","0.0","0.0","0.0","4","0","4","4","false","Anaemia","19.5","0","1","false","0","Anaemia","0"
"Socioeconomic","1.75","0.0","0.5714285714285714","0.0","7","3","7","0","false","Marital status","6.75","7","2","false","0","Marital status","0"
"Poverty","0.0","0.0","0.0","0.0","1","0","1","1","false","Single experience unintended pregnancy","4.0","0","0","false","0","Single experience unintended pregnancy","0"
"Environmental","2.0","0.0","0.5","0.0","1","3","1","0","false","Sunshine duration","21.0","1","0","false","0","Sunshine duration","0"
"Infectious diseases","1.125","0.6108564637976402","0.8888888888888888","0.004761904761904762","22","2","26","18","false","Tuberculosis","2.5714285714285716","8","2","false","1","Tuberculosis","14393"
"Socioeconomic","1.9","0.04329004329004329","0.5263157894736842","0.0","2","3","3","1","false","GDP","8.333333333333334","2","0","false","0","GDP","1020"
"Environmental","2.0","0.0","0.5","0.0","1","3","1","0","false","Mean temperature","21.0","1","0","false","0","Mean temperature","0"
