,node,node_rename
0,COVID-19 stressors,COVID-19
1,Drought,Droughts and weather extremes
2,Climate change,Climate change
3,Extreme weather events,Droughts and weather extremes
4,IPV,IPV
5,HIV-related stigma and discrimination,HIV-related stigma and discrimination
6,HIV status has impacted sexual life negatively,HIV-related stigma and discrimination
7,HIV status has impacted the ability to engage in social relationships negatively,HIV-related stigma and discrimination
8,Subjective safety,Subjective safety
9,Objective hazard,Hazards
10,Age,Age
11,None/primary,
12,Ever smoked,Smoking
13,HIV positive,HIV
14,Cause,
15,Localised public health threats,Localised public health threats
16,education level,Education level
17,Marital status,Marital status
18,Monthly average sunshine duration,Sunshine duration
19,Monthly per capita GDP,GDP
20,Mean temperature,Mean temperature
21,Mean air pressure,Mean air pressure
22,Lower promiscuity from 1980 onwards,Lower promiscuity from 1980 onwards
23,The proportion of male pending short links that are fulfilled by females,The proportion of male pending short links that are fulfilled by females
24,SES,SES
25,age,Age
26,vegetation density,Vegetation density
27,Household SES,SES
28,Marital status (Single),Marital status
29,Marital status (Other),Marital status
30,Maternal age group (14–19),Maternal age group (14–19)
31,Sanitation and drinking water facilities,Sanitation and water
32,"Dengue knowledge, socio-demographic factors, and ecological conditions in Delhi",Dengue
33,Penalized multivariable logistic regression model,
34,Not receiving antiretroviral treatment,Not receiving antiretroviral treatment
35,Higher emotional stress,Emotional stress
36,HIV infection,HIV
37,Fear of discrimination,Fear of discrimination
38,Pregnant,Pregnant
39,Male sex,Male sex
40,Black race/color,Black race/color
41,Tuberculosis relapse,Tuberculosis
42,HIV-positive status,HIV
43,Alcoholism,Alcohol
44,Illicit drug use,Drug use
45,Smoking,Smoking
46,Homelessness,Homelessness
47,Immigrant status,Immigrant status
48,Indigenous identity,Indigenous identity
49,Government assistance beneficiaries,Government assistance beneficiaries
50,BCG vaccination,BCG vaccination
51,Recent TB contact,Tuberculosis
52,Number of total screens (dashboard),Number of total screens (dashboard)
53,Number of tests (NHLS),Number of tests (NHLS)
54,post-TB,Tuberculosis
55,"age,sex,region,educational level,smoking history and pack-years,HAP,occupational exposure and history of asthma",
56,TB outbreaks,Tuberculosis
57,Simple scoring systems,
58,The TCS could not reliably identify individual subjects or families with subclinical TB.,
59,degrees of poverty,Poverty
60,Residing in a high HIV prevalence stratum,Residing in a high HIV prevalence stratum
61,Low education,Low education
62,Lower education levels,Low education
63,TB patients,Tuberculosis
64,Less than 200,
65,Greater than/equal to 500,
66,No/some primary education,Low education
67,Alcohol consumption,Alcohol
68,TB rate,Tuberculosis
69,Proportion of literacy in neighbourhood,Proportion of literacy in neighbourhood
70,Low monthly income (< minimum wage),Low income
71,Age ≥ 65 years,Age
72,Covid-19 rate,COVID-19
73,Region,
74,Chronic inflammation,Chronic inflammation
75,Tuberculosis infection,Tuberculosis
76,Having a paid employment,Employment
77,Racial group categories,
78,Aging,Age
79,Low income,Low income
80,Poor mosquito control,Poor mosquito control
81,many FBWs have children who are partially or fully dependent upon them,many FBWs have children who are partially or fully dependent upon them
82,No restrictions on time period or language were applied.,No restrictions on time period or language were applied.
83,Having multiple sexual partners,Having multiple sexual partners
84,Ever using injection drugs,Ever using injection drugs
85,Started offering ART in the area via mobile clinics,Started offering ART in the area via mobile clinics
86,No choice,
87,Obligation,Obligation
88,Household wealth index,Household wealth index
89,Lifetime sexual partners,Lifetime sexual partners
90,Low CD4 count,Low CD4
91,"Delaies in diagnosis, enrolment into HIV care, and initiation of ART","Delaies in diagnosis, enrolment into HIV care, and initiation of ART"
92,Experiencing all types of IPV,Experiencing all types of IPV
93,Having an alcoholic husband,Alcohol
94,MIS utilization,MIS utilization
95,Multiple associated factors,Multiple associated factors
96,Social development,Social development
97,Level of social development,Social development
98,X8,
99,X2,
100,Mother’s education level,Mother’s education level
101,Place of residence,Place of residence
102,Mosquito net ownership,Mosquito net ownership
103,Number of children in the household,Number of children in the household
104,Year of study,Year of study
105,Sample size,Sample size
106,Male,Male
107,Age 4y+,Age 4y+
108,Aging (15-64 years) and Aging (65 years and above),Aging (15-64 years) and Aging (65 years and above)
109,Household does not own a hamlet,Household does not own a hamlet
110,Lives > 20 km from an urban area,Lives > 20 km from an urban area
111,Lowest SES quintile,Lowest SES quintile
112,Wealth quintiles,Wealth quintiles
113,Proxy input parameters,Proxy input parameters
114,LLIN interventions,LLIN interventions
115,Malaria vaccine,Malaria vaccine
116,Malaria infection,Malaria
117,Sex of child,Sex of child
118,Household size,Household size
119,Type of mosquito net,Type of mosquito net
120,Fever,Fever
121,MHHs,MHHs
122,Case,
123,Diarrhea,Diarrhea
124,Torn ITNs,Torn ITNs
125,Age < 5,Age < 5
126,Age 5-14,Age 5-14
127,Age > 14,Age > 14
128,Malaria RDT results,Malaria
129,Household head occupation,Household head occupation
130,Household head education,Household head education
131,Household wealth tertile,Household wealth tertile
132,Malaria,Malaria
133,Malaria diagnosis based on self-reports,Malaria
134,Low knowledge level,Low knowledge level
135,Mother's education level,Mother's education level
136,Wealth index,Wealth index
137,Socioeconomic factors,Socioeconomic factors
138,,nan
139,Changes in temperature condition,Changes in temperature condition
140,Temperature deviation > 1,Temperature deviation > 1
141,Increased precipitation,Increased precipitation
142,Age below 25 years,Age below 25 years
143,Married,Marital status
144,Divorced/widowed,Divorced/widowed
145,Unemployed,Unemployment
146,Food-insecure,Food-insecure
147,Comorbidities,Comorbidities
148,Socio-economic status,Socio-economic status
149,Educational achievement,Educational level
150,Employment status,Employment
151,Disease burden,Disease burden
152,LNINF,
153,LNPHY,
154,Cigarette smoking,Smoking
155,Harmful alcohol use,Alcohol
156,Contact infected water,Contact infected water
157,VL outbreaks,Visceral Leishmaniasis
158,All age groups were affected by VL,Visceral Leishmaniasis
159,Temperature and relative humidity,Temperature and relative humidity
160,El Niño,El Niño
161,Dengue hemorrhagic fever epidemics,Dengue
162,Slide positive rate,
163,Study site,Study site
164,AIDS,AIDS
165,Having fever,Fever
166,Traveling to malaria endemic area outside the village,Traveling to malaria endemic area outside the village
167,I don't know the answer. The provided document appears to be a research paper and its supplementary information,
168,Deprivation quintile,Deprivation quintile
169,"Sex, female","Sex, female"
170,"Income, <Regional Minimum Wage",Low income
171,"Marital status, Single",Marital status
172,"Marital status, Divorced or widowed",Marital status
173,"Smoke per years, >10 pack-years",Smoking
174,"Alcohol consumption, yes",Alcohol
175,"Travelling time, >3 hours","Travelling time, >3 hours"
176,"Role of PMO, supportive","Role of PMO, supportive"
177,We did not adjust for country-level confounding,
178,Physical violence ever by client,Physical violence ever by client
179,Holiday,Holiday
180,Disease knowledge,Disease knowledge
181,Risk factors,
182,Elevation,Elevation
183,Annual rainfall,Annual rainfall
184,Farming being the main source of income,Farming being the main source of income
185,Eaves gaps in households,Eaves gaps in households
186,Don't know,
187,Age group,Age group
188,Socio-economic variables,Socio-economic variables
189,Health districts,Health districts
190,Vector control activities,Vector control activities
191,Dengue status,Dengue
192,Vegetation index,Vegetation index
193,GDP,GDP
194,Road density,Road density
195,Population density,Population density
196,LTBI and no treatment,Tuberculosis
197,Not tested,
198,Having a spouse with TB,Having a spouse with Tuberculosis
199,mother's wealth category,mother's wealth category
200,ever given birth,ever given birth
201,Anemia,Anemia
202,Discrimination at job,Discrimination at job
203,Injury on the job,Injury on the job
204,Poverty Ratio,Poverty
205,Living with family,Living with family
206,Region of residence 2 years before induction,Region of residence 2 years before induction
207,Occupation,Occupation
208,Have electricity,Have electricity
209,Islam,Islam
210,Had a job currently or had a job in past year,Had a job currently or had a job in past year
211,Mother death,Mother death
212,Holdings SES variation,Holdings SES variation
213,LP,LP
214,time-period (2004–2008),time-period (2004–2008)
215,Slept on farm,Slept on farm
216,Children,Children
217,Under-five mortality rate,Under-five mortality rate
218,No statistically significant relationship between under-five mortality and fertility,No statistically significant relationship between under-five mortality and fertility
219,Applying the thematic framework to all transcripts,Applying the thematic framework to all transcripts
220,Minimum yearly temperature,Minimum yearly temperature
221,% Mayan population,% Mayan population
222,Age >60 years,Age >60 years
223,Deterioro cognitivo y síntomas depresivos,Deterioro cognitivo y síntomas depresivos
224,Enfermedad pulmonar crónica,Enfermedad pulmonar crónica
225,Panel regression,Panel regression
226,Random effect model,Random effect model
227,Household exposure to Beijing strains,Household exposure to Beijing strains
228,Household exposure to Beijing lineage,Household exposure to Beijing lineage
229,Year of death,Year of death
230,Media exposure,Media exposure
231,Multiple sexual partners,Multiple sexual partners
232,Heard about HIV,Heard about HIV
233,Residence (Rural),Residence (Rural)
234,Electricity,Electricity
235,Establishment of a special fund for leprosy,Establishment of a special fund for leprosy
236,Have a psychiatric disorder,Have a psychiatric disorder
237,HIV+ and thinking you will have more complications if you acquire COVID-19,HIV
238,Family poverty,Poverty
239,Rainfall reduction,Rainfall reduction
240,Lack of sustained water policy,Lack of sustained water policy
241,Treatment capacity is insufficient,Treatment capacity is insufficient
242,Distrust among the working institutions of the provinces,Distrust among the working institutions of the provinces
243,Number of political and racist movements getting a strong point of interest and added authority to the opinion of the opposition,Number of political and racist movements getting a strong point of interest and added authority to the opinion of the opposition
244,Malnutrition,Malnutrition
245,Extreme social inequalities,Extreme social inequalities
246,lack of sustained water policy,lack of sustained water policy
247,insufficient treatment capacity,insufficient treatment capacity
248,"presence of accords, treaties and formulas","presence of accords, treaties and formulas"
249,Desertiﬁcation,Desertiﬁcation
250,DC,
251,E,
252,Barents-Kara sea-ice loss,Barents-Kara sea-ice loss
253,Aspirations_Reduced_Parenthood,Aspirations_Reduced_Parenthood
254,Parents_Religiosity,Parents_Religiosity
255,Partnership,Partnership
256,Employed_Mothers,Employed_Mothers
257,Climate-related degradation of pastures,Climate-related degradation of pastures
258,Weather shocks,Weather shocks
259,Cancer,Cancer
260,Illness,
261,Observational record,Observational record
262,Internal variability,Internal variability
263,Aerosol concentration,Aerosol concentration
264,CO2 emissions,CO2 emissions
265,Economic growth,Economic growth
266,Trade openness,Trade openness
267,Gross capital formation,Gross capital formation
268,Foreign direct investment,Foreign direct investment
269,International tourism,International tourism
270,Capital formation,Capital formation
271,SO2,SO2
272,NO2,NO2
273,PM10,PM10
274,Income,Income
275,People want to conform to others,
276,Option that is dominant in the community becomes more salient,Option that is dominant in the community becomes more salient
