,paper_id,data_types,methods
0,10.21149_11984,"patient-level data, clinical diagnosis data, laboratory test results, government guidelines","systematic review, literature search"
1,10.47205_jdss.2021(2-iv)74,"documents, reports, accord, treaties, formulas, policy files","multi-stage analysis approach, document analysis, word clouds based on theoretical perspective, MAXQDA 2020"
2,10.1007_s00431-023-04988-0,"article search results, data extraction, manuscript writing, statistical analysis, study design, title and abstract screening","keyword search, PubMed, Embase, Google Scholar, full-text article screening, data extraction, study design, statistical analysis, interpretation of data, manuscript writing, manuscript editing."
3,10.1007_s10461-020-02962-7,"sociodemographic data, HIV screening and testing data, behavioral risk information, manually recorded data, standardized form data, database-entered data, secure password-protected database data, encrypted data","univariable analysis, multivariable logistic regression, stepwise multivariable logistic regression, Akaike information criterion for model selection, external validation"
4,10.1007_s10461-020-03068-w,"survey data, demographic variables, psychological distress","Descriptive statistics, bivariate analyses, Pearson's correlation coefficients, Point-biserial correlation tests, path analysis, maximum likelihood estimation, kurtosis and skewness tests."
5,10.1007_s10461-021-03158-3,"statistical data, demographic data, patient-level data, enrollment data, simulation data, confidence interval data, risk ratio data, risk difference data","Western Blot, rapid tests, regression analysis, g-formula, simulation modeling"
6,10.1007_s10461-024-04277-3,"survey data, publicly available anonymized data","multi-stage probability sampling design, descriptive statistics, logistic regressions"
7,10.1007_s10461-024-04280-8,"historical 2-year periods data, rainfall patterns data, satellite data, survey data","Review and approval by in-country ethics and regulatory bodies, institutional review boards, binary variable, sensitivity analyses, stratification by sex and rural/urban location, survey country, age, having received a secondary-level education or higher, whether they had ever been married, geographic analysis, census data, enumeration areas."
8,10.1007_s10461-024-04318-x,"patient-level data, demographic data, questionnaire data, participant data, de-identified data, code availability data","questionnaire assessment, statistical analysis"
9,10.1007_s10461-024-04358-3,"patient-level data, self-reported mental health symptoms or diagnosis, socio-economic class data, HIV-related stigma and discrimination data, demographic data (age, gender)","Research Electronic Data Capture (REDCap), Mini International Neuropsychiatric Interview (MINI), supervised on-site and remote supervision by principal investigator and mental health workers, back-up supervision by phone or written contact."
10,10.1007_s10461-024-04413-z,"participant home address data, environmental measures data, psychosocial-hazard scores, rates of violent crime, rates of shootings, rates of unemployment, rates of certain types of calls for service, household income, percentage of households below the poverty line, liquor store density, percentage of properties vacant or abandoned, data from Baltimore Neighborhood Indicator Alliance","statistical analyses, data curation, data collection, cleaning, open access funding, Creative Commons Attribution 4.0 International License"
11,10.1007_s10461-025-04630-0,"patient-level data, electronic health record (EHR) data, survey data, mixed effects model data, study data, REDCap electronic data capture tools data, SDOH data","correlation matrix, Proc Corr function, mixed effects model, linear mixed model analysis, retrospective review"
12,10.1017_S0950268822000103,"patient-level data, biomarker data, laboratory data, CD4 cell count data, CD8 cell count data, body mass index data, mean corpuscular volume data","median test, multivariate logistic regression model, written informed consent, axillary temperature measurement, digital thermometer, immuno-chromatographic rapid tests, thick blood smears, rapid diagnostic antigen tests, questionnaire administration, weighing scale, stadiometer, BMI computation."
13,10.1017_S0950268823000444,"Calls to a national telephone helpline, online symptom checker, GP consultations, ambulance dispatch calls, emergency department attendances, key syndrome national and regional trends, automated statistical outbreak detection algorithm, syndromic surveillance systems data.","laboratory reports, cluster analysis, scan statistics, differences-in-differences investigation tool (DiD IT), causal inference, epidemiology"
14,10.1038_s41598-020-62667-8,"socio-demographic characteristics, lifestyle variables, TB risk factors, residential postcodes, Office for National Statistics data, small-area indices of multiple deprivation (IMD), satellite data (none mentioned but implied as a type of data), patient-level data (none mentioned but implied as a type of data)","frequency-matching, regression analysis, data cleaning and management, fieldwork, data management"
15,10.1038_s41598-020-70472-6,"HIV test results, Xpert MTB/RIF Ultra assay results, categorical data, continuous variables, chi-square tests, Rank sum test, DNA fingerprinting","individual simple logistic regression analysis, chi-square tests, Rank sum test, multivariable analysis"
16,10.1038_s41598-020-73490-6,"house ownership data, availability of electricity in the house data, source of drinking water data, fuel used for cooking data, continuous data, standard deviations, means, medians, interquartile range data, categorical data, parity data, duration on treatment data, duration on ART use data, marital status data, employment status data, HIV status disclosure data, socioeconomic status data, type of contraceptive used data, antiretroviral treatment data","cross-sectional study, principal component analysis (PCA), data entry using EpiData software, statistical analyses in Stata version 14.0, sample size estimation using Stata version 14.0"
